mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05705103874206543,0.003395776441602221,0.0009354114532470703,0.0002348785614445365,0.01,,1,2,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.4348312814844234,0.41240866037235,0.3832851807266614,-0.1148979837419144,0.16188866293115045,0.2555031603545342,0.2093164290589683,412
0.10921449661254883,0.002886626822313826,0.0009293556213378906,6.633334478081053e-05,0.01,,1,2,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.42233771498057504,0.4019123493727168,0.3433692095585509,-0.5668990551930229,0.08713230064510458,0.13757050387278488,0.372060063715945,422
0.1649712562561035,0.006875495427463178,0.0010241031646728515,2.067769575470101e-05,0.01,,1,2,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.38921186753937875,0.3768102736377601,0.301163122577048,-0.7863153432715206,0.041706949723547826,0.06451537404124279,0.4434842066711862,423
0.2724095344543457,0.005857725517005908,0.001332855224609375,0.00011789412776619596,0.01,,1,2,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.3683949307604816,0.35913625726871523,0.2753278448211055,-0.9070320170254738,0.01555915525042828,0.02227723421505139,0.4818644809132294,428
0.0541567325592041,0.001045777730948119,0.0007915019989013672,1.056320772715427e-05,0.01,,1,4,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.4372140318903154,0.4587348614039325,0.5121778508546908,-0.012098017529192484,0.1550216615509109,0.3102100776341314,0.20344362850896727,394
0.11160335540771485,0.004135042616609255,0.0009488105773925781,5.06275775734628e-05,0.01,,1,4,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.4783268045813873,0.47867185408449164,0.5303844143573295,-0.161975656893788,0.15232427007389848,0.2955463372406638,0.2653041696863252,400
0.16948556900024414,0.006661703851676994,0.0011588573455810548,0.00018656326787397612,0.01,,1,4,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.4701638483998055,0.49405208609415474,0.5116683298001821,-0.2610475068801128,0.124097077171612,0.26778676691712827,0.3006470058283724,402
0.27808151245117185,0.0056347678084102985,0.0013015270233154297,8.310999458219345e-05,0.01,,1,4,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",0.4607844966744109,0.5028744241451586,0.5027216067774987,-0.30875332524681554,0.10670852238843886,0.2528671449477383,0.31778622134603396,421
0.05242204666137695,0.0011121694106405544,0.000767660140991211,1.619239574925862e-05,0.01,,1,6,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",0.428928367471189,0.462199800200652,0.5185126696466171,0.022375428758754645,0.16188193732621892,0.3187796406806863,0.1923890398090153,388
0.10688619613647461,0.0020806289601063067,0.0009441852569580078,6.560374768695944e-05,0.01,,1,6,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",0.4743530466168674,0.5312608669823157,0.5386704970373755,-0.16936737713871897,0.1872305647418936,0.31242951964794663,0.2731645639811954,393
0.1588913917541504,0.0030814094798081704,0.001012134552001953,2.013269502059084e-05,0.01,,1,6,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 300}",0.47470736733690644,0.570603349817777,0.5371015651176181,-0.28265333662612546,0.20042058939992613,0.30003590700922045,0.31917611206544505,399
0.2716322898864746,0.006988449665311581,0.0012715816497802734,4.832988656632416e-05,0.01,,1,6,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",0.4877721074971286,0.5877513993406802,0.5208879943036406,-0.33766968951042764,0.19574917414641602,0.29089819715548754,0.34173890376727545,401
0.051843452453613284,0.001154417130914678,0.0007780551910400391,1.6237408016581778e-05,0.01,,2,2,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.44577448709008194,0.5210372577660067,0.4598400054275661,0.21695272444889557,0.17992926015872335,0.3647067469782548,0.1385896928073153,326
0.10425362586975098,0.0019067859212984963,0.0009068965911865235,2.1353788040553257e-05,0.01,,2,2,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.5386978978403505,0.5885783713784264,0.4284045049570021,0.13764116534657833,0.16072670414810886,0.3708097287340932,0.18837687409263715,286
0.16990065574645996,0.009586228646121225,0.0012310981750488282,0.0002948622959405412,0.01,,2,2,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.5654899508300518,0.6080884945643829,0.40247842443185733,0.11637525309512231,0.14976608192086494,0.3684396409684559,0.20433972569549952,295
