age,sex,max_boulder,max_sport,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,shortcamp,ohpr,ohll,dl,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,max_boulder_numeric,max_sport_french,max_sport_numeric
34,1,I have not pursued bouldering goals outside in the past year,5.14a/b,5-6 years,3-4 years,7-9 months,40,185.42000000000002,70.76040972,186.69,22.0,28.0,64.0,29.48350405,38.55535145,170.0,87.0,156.0,,,,20.6,0.310908318465853,1.544871794871795,1.4166666666666667,,Unknown,
31,2,V9,5.13a/b,7-8 years,3-4 years,1-3 months,15,157.48,51.255937810000006,154.94,15.0,30.0,,29.48350405,24.947580350000003,100.0,,,,,74.84274105,20.7,0.29264902059939496,1.4867256637168142,1.5752212389380529,8.0,Unknown,
26,1,V9,I have not pursued sport climbing goals outside in the past year,5-6 years,<1 year,1-3 months,15,177.8,57.60623099,180.34,,25.0,40.0,52.163122550000004,34.01942775,,,,,,,18.2,,1.5905511811023623,1.905511811023622,8.0,Unknown,
38,1,I have not pursued bouldering goals outside in the past year,5.12a/b,>10 years,5-6 years,Year round,3,172.72,74.84274105,170.18,27.0,75.0,37.0,27.2155422,43.09127515,93.0,91.0,156.0,40.8233133,38.55535145,206.38452835,25.1,0.36075642902979965,1.5757575757575757,1.3636363636363638,,Unknown,
24,2,V4,5.11c/d,3-4 years,3-4 years,4-6 months,30,157.48,58.9670081,157.48,2.0,30.0,7.0,0.0,0.0,15.0,20.0,25.0,11.33980925,11.33980925,54.4310844,23.8,0.033917271105365784,1.0,1.0,3.0,Unknown,
31,2,V8,5.12a/b,7-8 years,5-6 years,4-6 months,20,173.99,65.77089365,175.26,8.0,8.0,60.0,15.875732950000002,11.33980925,98.0,55.0,132.0,,,,21.7,0.12163435155027727,1.1724137931034484,1.2413793103448276,7.0,Unknown,
45,1,V8,5.13a/b,>10 years,9-10 years,Year round,15,170.18,65.31730128000001,175.26,18.0,31.0,45.0,34.01942775,49.895160700000005,133.0,161.0,176.0,,,,22.6,0.27557782773109696,1.7638888888888888,1.5208333333333333,7.0,Unknown,
25,1,V5,5.12a/b,3-4 years,<1 year,4-6 months,16,187.96,65.77089365,193.04,11.0,15.0,12.0,,22.6796185,24.0,31.0,54.0,,,,18.6,0.16724723338163125,1.3448275862068966,,4.0,Unknown,
34,1,V6,5.13a/b,9-10 years,5-6 years,Year round,100,175.26,67.13167076,365.76,,,61.0,38.55535145,,152.0,,,,,,21.9,,,1.5743243243243243,5.0,Unknown,
27,2,V7,I have not pursued sport climbing goals outside in the past year,5-6 years,3-4 years,4-6 months,20,154.94,52.163122550000004,152.4,6.0,7.0,12.0,0.0,13.6077711,35.0,,,6.80388555,6.80388555,29.48350405,21.7,0.11502378896602308,1.2608695652173914,1.0,6.0,Unknown,
29,1,V10,I have not pursued sport climbing goals outside in the past year,5-6 years,3-4 years,7-9 months,15,170.18,65.77089365,170.18,22.0,34.0,38.0,40.8233133,52.163122550000004,110.0,,,0.0,0.0,102.05828325,22.7,0.3344944667632625,1.7931034482758619,1.6206896551724137,9.0,Unknown,
30,2,V6,5.12a/b,9-10 years,<1 year,Year round,20,187.96,72.57477920000001,190.5,6.0,20.0,24.0,15.42214058,11.793401620000001,,65.0,78.0,,,,20.5,0.08267334831932908,1.1624999999999999,1.2125000000000001,5.0,Unknown,
45,2,V5,5.13a/b,>10 years,<1 year,1-3 months,100,160.02,56.69904625,162.56,7.0,15.0,55.0,18.143694800000002,9.071847400000001,200.0,,,,,,22.1,0.12345886682353144,1.1600000000000001,1.32,4.0,Unknown,
42,1,V7,5.13c/d,>10 years,>10 years,7-9 months,92,175.26,69.39963261,177.8,28.0,43.0,76.0,43.09127515,49.895160700000005,220.0,218.0,303.0,32.20505827,27.2155422,154.2214058,22.6,0.403460349096508,1.7189542483660132,1.6209150326797386,6.0,Unknown,
31,1,V10,5.13a/b,9-10 years,3-4 years,7-9 months,30,167.64000000000001,64.41011654,172.72,21.0,53.0,103.0,28.12272694,45.359237,80.0,85.0,190.0,24.04039561,24.04039561,,22.9,0.32603573985087525,1.704225352112676,1.436619718309859,9.0,Unknown,
40,2,I have not pursued bouldering goals outside in the past year,5.11a/b,>10 years,<1 year,1-3 months,15,175.26,66.22448602,172.72,2.0,10.0,13.0,,8.164662660000001,,,,,,,21.6,0.030200309888339393,1.1232876712328768,,,Unknown,
