sex,height,weight,exp,max_boulder,max_sport,days,maxhang,pullup,weightedpull,max_boulder_numeric,max_sport_numeric,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,pushup,bmi_score,max_sport_french,ohll,trainexp,longcamp,ohpr,age,dl,shortcamp,span,continuous,season,repeaters1
1,177.0,73.5,8,V10,0,16,52.5,0,0.0,9.0,0.0,0.0,1.0,1.7142857142857142,,,,,,,,,,,,,,
1,188.0,78.0,0,V3,6b,16,0.0,12,10.0,2.0,7.0,0.15384615384615385,1.1282051282051282,1.0,,,,,,,,,,,,,,
1,184.0,80.0,3,V4,7a+,12,0.0,14,60.0,3.0,12.0,0.175,1.75,1.0,,,,,,,,,,,,,,
1,176.0,54.0,1,V6,7a,8,15.0,30,25.0,5.0,11.0,0.5555555555555556,1.462962962962963,1.2777777777777777,,,,,,,,,,,,,,
1,170.0,65.0,0,V5,6c,12,0.0,30,30.0,4.0,9.0,0.46153846153846156,1.4615384615384615,1.0,,,,,,,,,,,,,,
1,178.0,80.0,1,V4,6b,8,0.0,8,0.0,3.0,7.0,0.1,1.0,1.0,,,,,,,,,,,,,,
1,169.0,63.0,1,V6,6b+,12,22.0,24,35.0,5.0,8.0,0.38095238095238093,1.5555555555555556,1.3492063492063493,,,,,,,,,,,,,,
1,168.5,76.0,1,V5,7a,4,0.0,30,0.0,4.0,11.0,0.39473684210526316,1.0,1.0,,,,,,,,,,,,,,
1,173.0,70.0,3,V6,6c,12,0.0,18,0.0,5.0,9.0,0.2571428571428571,1.0,1.0,,,,,,,,,,,,,,
2,157.0,59.0,2,V4,7a,20,0.0,0,0.0,3.0,11.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,173.0,76.0,6,V4,6c,16,0.0,12,15.0,3.0,9.0,0.15789473684210525,1.1973684210526316,1.0,,,,,,,,,,,,,,
1,190.5,70.3,1,V7,7b,12,25.0,20,20.0,6.0,13.0,0.2844950213371266,1.2844950213371267,1.3556187766714083,,,,,,,,,,,,,,
1,170.0,73.66,0,V6,0,16,0.0,18,10.0,5.0,0.0,0.24436600597339128,1.1357588922074395,1.0,,,,,,,,,,,,,,
2,176.0,56.0,2,V5,6b+,12,8.0,12,5.0,4.0,8.0,0.21428571428571427,1.0892857142857142,1.1428571428571428,,,,,,,,,,,,,,
1,183.0,70.0,1,V6,6a,8,0.0,15,10.0,5.0,5.0,0.21428571428571427,1.1428571428571428,1.0,,,,,,,,,,,,,,
2,170.0,56.0,1,V6,0,12,0.0,15,0.0,5.0,0.0,0.26785714285714285,1.0,1.0,,,,,,,,,,,,,,
1,183.0,72.0,1,V6,7b,12,0.0,14,0.0,5.0,13.0,0.19444444444444445,1.0,1.0,,,,,,,,,,,,,,
1,175.0,65.0,5,V10,8b,20,0.0,33,25.0,9.0,19.0,0.5076923076923077,1.3846153846153846,1.0,,,,,,,,,,,,,,
1,165.0,68.0,5,V9,0,12,45.0,24,35.0,8.0,0.0,0.35294117647058826,1.5147058823529411,1.661764705882353,,,,,,,,,,,,,,
1,188.0,77.0,1,V4,6b,12,0.0,7,0.0,3.0,7.0,0.09090909090909091,1.0,1.0,,,,,,,,,,,,,,
1,155.0,69.0,1,V5,8b+,12,0.0,7,0.0,4.0,20.0,0.10144927536231885,1.0,1.0,,,,,,,,,,,,,,
1,181.0,75.0,2,V5,7a+,12,0.0,19,15.0,4.0,12.0,0.25333333333333335,1.2,1.0,,,,,,,,,,,,,,
1,178.0,78.0,4,V6,0,12,13.6,4,0.0,5.0,0.0,0.05128205128205128,1.0,1.1743589743589742,,,,,,,,,,,,,,
1,180.0,68.0,13,V9,7c+,20,12.0,0,0.0,8.0,16.0,0.0,1.0,1.1764705882352942,,,,,,,,,,,,,,
1,177.8,68.0,4,V7,7b,12,40.0,0,40.0,6.0,13.0,0.0,1.588235294117647,1.588235294117647,,,,,,,,,,,,,,
2,163.0,56.0,2,V5,7b+,16,0.0,15,0.0,4.0,14.0,0.26785714285714285,1.0,1.0,,,,,,,,,,,,,,
1,173.0,65.0,5,V10,7c+,12,0.0,12,0.0,9.0,16.0,0.18461538461538463,1.0,1.0,,,,,,,,,,,,,,
1,178.0,65.0,1,V5,6b+,8,0.0,12,8.0,4.0,8.0,0.18461538461538463,1.123076923076923,1.0,,,,,,,,,,,,,,
1,185.0,74.0,13,V7,7b,16,8.0,15,8.0,6.0,13.0,0.20270270270270271,1.1081081081081081,1.1081081081081081,,,,,,,,,,,,,,
1,185.0,75.0,2,V7,7b+,12,0.0,17,30.0,6.0,14.0,0.22666666666666666,1.4,1.0,,,,,,,,,,,,,,
1,175.0,68.0,0,V5,6a,12,0.0,14,12.0,4.0,5.0,0.20588235294117646,1.1764705882352942,1.0,,,,,,,,,,,,,,
1,172.72,81.647,1,V8,6c,12,0.0,0,0.0,7.0,9.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,176.0,78.0,1,V4,6b,12,0.0,10,0.0,3.0,7.0,0.1282051282051282,1.0,1.0,,,,,,,,,,,,,,
1,175.0,72.0,2,V8,7b+,16,25.0,20,28.0,7.0,14.0,0.2777777777777778,1.3888888888888888,1.3472222222222223,,,,,,,,,,,,,,
1,178.0,76.0,2,V8,7b+,12,0.0,10,20.0,7.0,14.0,0.13157894736842105,1.263157894736842,1.0,,,,,,,,,,,,,,
1,172.72,64.5,3,V7,7c,12,0.0,0,0.0,6.0,15.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,175.0,63.0,1,V6,0,16,0.0,15,0.0,5.0,0.0,0.23809523809523808,1.0,1.0,,,,,,,,,,,,,,
1,164.0,65.0,1,V6,6b,12,0.0,10,20.0,5.0,7.0,0.15384615384615385,1.3076923076923077,1.0,,,,,,,,,,,,,,
1,180.0,63.5,2,V5,7a,8,0.0,12,30.0,4.0,11.0,0.1889763779527559,1.4724409448818898,1.0,,,,,,,,,,,,,,
1,180.0,70.0,4,V11,0,16,10.0,30,25.0,10.0,0.0,0.42857142857142855,1.3571428571428572,1.1428571428571428,,,,,,,,,,,,,,
1,173.0,67.0,1,V5,0,12,20.0,13,33.0,4.0,0.0,0.19402985074626866,1.492537313432836,1.2985074626865671,,,,,,,,,,,,,,
1,181.0,78.0,1,V4,0,12,0.0,2,0.0,3.0,0.0,0.02564102564102564,1.0,1.0,,,,,,,,,,,,,,
1,175.0,68.0,15,V8,7c+,4,0.0,30,35.0,7.0,16.0,0.4411764705882353,1.5147058823529411,1.0,,,,,,,,,,,,,,
2,156.0,53.0,0,V5,7a,12,0.0,0,0.0,4.0,11.0,0.0,1.0,1.0,,,,,,,,,,,,,,
2,169.0,65.0,0,V4,6c,8,0.0,2,0.0,3.0,9.0,0.03076923076923077,1.0,1.0,,,,,,,,,,,,,,
1,178.0,71.0,2,V8,0,12,30.0,0,0.0,7.0,0.0,0.0,1.0,1.4225352112676057,,,,,,,,,,,,,,
1,162.0,56.0,3,V8,7b+,16,0.0,30,0.0,7.0,14.0,0.5357142857142857,1.0,1.0,,,,,,,,,,,,,,
1,189.0,75.0,1,V5,6b+,8,0.0,0,0.0,4.0,8.0,0.0,1.0,1.0,,,,,,,,,,,,,,
2,162.5,59.0,2,V4,0,8,0.0,3,0.0,3.0,0.0,0.05084745762711865,1.0,1.0,,,,,,,,,,,,,,
1,170.0,65.0,13,V10,8a,16,0.0,0,0.0,9.0,17.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,180.0,72.0,8,V7,8a,16,16.0,18,20.0,6.0,17.0,0.25,1.2777777777777777,1.2222222222222223,,,,,,,,,,,,,,
1,180.0,75.0,2,V5,6b+,0,0.0,7,0.0,4.0,8.0,0.09333333333333334,1.0,1.0,,,,,,,,,,,,,,
1,170.0,70.0,1,V5,7a+,20,15.0,15,18.0,4.0,12.0,0.21428571428571427,1.2571428571428571,1.2142857142857142,,,,,,,,,,,,,,
1,181.0,80.0,0,V4,6b,12,2.5,28,27.0,3.0,7.0,0.35,1.3375,1.03125,,,,,,,,,,,,,,
1,170.0,66.0,1,V0,7a,12,18.0,25,36.0,,11.0,0.3787878787878788,1.5454545454545454,1.2727272727272727,,,,,,,,,,,,,,
1,188.0,80.0,3,V7,6b,12,30.0,15,23.0,6.0,7.0,0.1875,1.2875,1.375,,,,,,,,,,,,,,
1,188.0,71.0,3,V9,0,16,38.0,20,25.0,8.0,0.0,0.28169014084507044,1.352112676056338,1.5352112676056338,,,,,,,,,,,,,,
1,183.0,65.0,4,V4,0,8,0.0,20,0.0,3.0,0.0,0.3076923076923077,1.0,1.0,,,,,,,,,,,,,,
1,167.64,60.328,1,V5,7c+,12,0.0,5,0.0,4.0,16.0,0.08288025460814215,1.0,1.0,,,,,,,,,,,,,,
1,171.0,67.2,15,V12,0,12,36.3,0,0.0,11.0,0.0,0.0,1.0,1.5401785714285714,,,,,,,,,,,,,,
1,178.0,77.0,1,V6,7a+,12,0.0,13,30.0,5.0,12.0,0.16883116883116883,1.3896103896103895,1.0,,,,,,,,,,,,,,
1,183.0,68.3,0,V5,7a+,20,0.0,15,0.0,4.0,12.0,0.21961932650073207,1.0,1.0,,,,,,,,,,,,,,
1,173.0,60.0,5,V10,7c,16,45.0,18,5.0,9.0,15.0,0.3,1.0833333333333333,1.75,,,,,,,,,,,,,,
2,169.0,65.0,15,V5,6c,4,0.0,1,0.0,4.0,9.0,0.015384615384615385,1.0,1.0,,,,,,,,,,,,,,
1,175.0,57.0,2,V11,8a+,12,36.0,23,35.0,10.0,18.0,0.40350877192982454,1.6140350877192982,1.631578947368421,,,,,,,,,,,,,,
1,178.0,71.0,11,V8,0,12,55.0,18,0.0,7.0,0.0,0.2535211267605634,1.0,1.7746478873239437,,,,,,,,,,,,,,
1,179.0,69.0,15,V9,7b,12,21.0,25,0.0,8.0,13.0,0.36231884057971014,1.0,1.3043478260869565,,,,,,,,,,,,,,
1,178.0,60.0,8,V8,7b,8,70.0,25,60.0,7.0,13.0,0.4166666666666667,2.0,2.1666666666666665,,,,,,,,,,,,,,
1,180.0,73.0,5,V8,7b,8,0.0,20,40.0,7.0,13.0,0.273972602739726,1.547945205479452,1.0,,,,,,,,,,,,,,
