strength_to_weight_pullup,strength_to_weight_maxhang,strength_to_weight_weightpull,exp,continuous,repeaters1,max_sport_numeric
0.0292002996271361,1.2450331125827816,1.0662251655629138,7.0,16.0,31.0,4.0
0.2645547146218531,1.0799999999999998,1.16,5.0,28.0,120.0,11.0
0.2560206915695352,1.2258064516129032,1.5483870967741935,7.0,54.0,117.0,15.0
0.2004202383498887,1.303030303030303,1.4242424242424243,7.0,47.0,132.8,9.0
0.0776275571073512,1.2464788732394363,1.176056338028169,5.0,34.8,85.0,9.0
0.0953350322961632,1.162162162162162,1.2972972972972971,7.0,17.0,83.0,13.0
0.1233355312922392,1.1748251748251748,1.1748251748251748,6.0,32.8,80.0,11.0
0.1889676533013236,1.4888920644782715,1.4757412448945295,6.0,53.0,116.0,9.0
0.2405042860198664,1.5454545454545454,1.6363636363636362,6.0,65.0,195.0,17.0
0.2492182094263833,1.2,1.4,7.0,31.0,62.0,15.0
0.2307692307692307,1.036764705882353,1.0,6.0,27.0,32.0,5.0
0.205764778039219,1.8266666666666669,1.6733333333333331,4.0,56.0,165.0,11.0
0.2411305992647098,1.265625,1.546875,7.0,27.0,92.0,15.0
0.2087216683407125,1.4319526627218937,1.5502958579881656,5.0,60.0,205.0,11.0
0.1626360950544179,1.4098360655737705,1.2868852459016396,5.0,53.0,260.0,9.0
0.1543235835294143,1.1,1.15,6.0,37.0,97.0,9.0
0.2651128469311818,1.5063291139240509,1.5063291139240509,4.0,49.0,200.0,15.0
0.1936492843515816,1.4054054054054057,1.4256756756756757,7.0,50.0,120.0,6.6
0.1736975399032368,1.2727272727272727,1.4242424242424243,5.0,30.0,87.0,9.0
0.1978507481146337,1.301282051282051,1.4615384615384617,7.0,45.0,160.0,9.0
0.1102311310924387,1.3333333333333333,1.35,5.0,36.0,120.0,11.0
0.2431569068215561,1.4044117647058822,1.588235294117647,4.0,41.0,95.0,15.0
0.0516708426995806,1.341143115942029,1.274921014492754,2.0,50.0,114.4,7.4
0.1533650519546974,1.391304347826087,1.391304347826087,5.0,62.0,190.0,17.0
0.0678345422107315,1.2569895169895169,1.358974358974359,6.0,35.2,94.4,9.0
0.1603361906799109,1.2424242424242424,1.3333333333333337,4.0,41.0,60.0,11.0
0.2275739480618091,1.6451612903225803,1.8064516129032255,7.0,67.0,120.0,17.0
0.2204622621848775,1.4166666666666667,1.375,7.0,40.0,90.0,8.4
0.1410958477983216,1.24,1.28,5.0,40.0,113.0,4.0
0.2449580690943084,1.5555555555555556,1.5185185185185186,6.0,45.0,180.0,13.0
0.1706804610463568,1.3483870967741935,1.3483870967741935,7.0,56.0,98.0,13.0
0.2805883336898441,1.590909090909091,1.6363636363636362,5.0,65.0,152.6,13.0
0.1515678052521033,1.25,1.21875,7.0,21.0,62.0,6.8
0.2305487709122902,1.6862745098039216,1.5228758169934642,4.0,64.0,120.0,6.2
0.1924111831703531,1.3905194805194805,1.4923129251700682,7.0,50.8,119.2,13.0
0.1514626228751067,1.1908396946564883,1.267175572519084,5.0,18.0,50.0,5.0
0.2887005814325777,1.505952380952381,1.5952380952380951,7.0,72.0,204.0,9.0
0.1827035321974123,1.3591160220994476,1.3038674033149171,7.0,48.0,110.0,9.0
0.214735969660595,1.357142857142857,1.6168831168831168,6.0,55.0,110.0,9.0
0.2280644091567699,1.482758620689655,1.482758620689655,7.0,57.0,183.0,15.0
0.2493323203281353,1.6428571428571428,1.6547619047619049,6.0,82.0,204.0,17.0
0.1837185518207313,1.2916666666666667,1.3666666666666667,5.0,20.0,79.8,4.0
0.2204622621848775,1.2083333333333333,1.4166666666666667,7.0,38.0,84.0,15.0
0.0275577827731096,1.09375,1.09375,6.0,19.5,56.0,9.0
0.1876274571786192,1.4044931809637693,1.4533319940146905,7.0,46.0,126.0,13.0
0.1695863555268289,1.5384615384615383,1.5384615384615383,4.0,43.0,161.0,9.0
0.119168790370204,1.281081081081081,1.2972972972972971,5.0,39.0,132.0,11.0
0.2066833707983227,1.3125,1.6249999999999998,6.0,30.0,156.0,13.0
0.205764778039219,1.48,1.5133333333333334,3.0,41.0,100.0,11.0
0.0816526896981028,1.0462962962962965,1.138888888888889,3.0,15.0,37.0,9.0
0.1240100224789936,1.03125,1.3375,4.0,14.0,76.0,9.0
0.2286275311546878,1.542618484641432,1.5555555555555556,7.0,11.0,40.0,9.0
0.2964198483158017,1.084033613445378,1.5882352941176472,1.0,18.0,120.0,5.0
0.304586020123844,1.888157894736842,1.5921052631578947,7.0,78.0,170.0,15.0
0.2688564172986312,1.548780487804878,1.7621951219512195,3.0,60.0,116.0,9.0
0.1787531855553061,1.391891891891892,1.337837837837838,7.0,64.0,195.0,11.0
0.2574741748144555,1.2923307435287954,1.6204379562043794,7.0,45.0,70.0,11.0
0.1991272045540829,1.3548387096774193,1.567741935483871,3.0,38.0,90.0,5.0
0.1757307886980908,1.2173913043478262,1.434782608695652,7.0,36.0,100.0,9.0
0.310908318465853,1.4166666666666667,1.544871794871795,4.0,64.0,170.0,17.0
0.2926490205993949,1.5752212389380529,1.4867256637168142,5.0,48.6,100.0,13.0
0.0339172711053657,1.0,1.0,3.0,7.0,15.0,7.0
0.1216343515502772,1.2413793103448276,1.1724137931034484,5.0,60.0,98.0,9.0
0.2755778277310969,1.5208333333333333,1.7638888888888888,7.0,45.0,133.0,13.0
0.1672472333816312,1.1921741400144843,1.3448275862068966,3.0,12.0,24.0,9.0
0.082673348319329,1.2125,1.1625,6.0,24.0,62.2,9.0
0.1234588668235314,1.32,1.16,7.0,55.0,200.0,13.0
0.403460349096508,1.6209150326797386,1.7189542483660132,7.0,76.0,220.0,15.0
0.0302003098883393,1.079428831886134,1.1232876712328768,7.0,13.0,41.0,5.0
0.1130575703512192,1.205128205128205,1.3333333333333333,4.0,34.0,67.0,9.0
0.2993931955597103,1.5864197530864197,1.648148148148148,7.0,63.0,94.0,9.0
1.1310043668122272,1.0,1.0,3.0,2.0,10.0,5.0
0.0555787215592128,1.0,1.0084033613445378,2.0,10.0,66.0,4.0
