,age,sex,max_boulder_numeric,max_sport_numeric,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,ohpr,ohll,dl,shortcamp,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,age_group
150,32.0,2.0,8.0,11.0,6.0,4.0,1.0,2.5,157.48,53.07030729,154.94,12.0,33.0,70.0,38.55535145,29.48350405,150.0,120.6,18.143694800000002,18.59728717,109.76935354,179.2,21.4,0.22611514070243854,1.5555555555555556,1.7264957264957266,30-39
151,38.0,1.0,0.0,7.0,5.0,3.0,4.0,5.0,179.07,72.57477920000001,176.53,23.0,60.0,28.0,14.968548210000002,44.905644630000005,120.0,124.0,22.6796185,22.6796185,113.85168487000001,181.2,22.6,0.3169145018907615,1.61875,1.20625,30-39
152,39.0,1.0,4.0,9.0,4.0,3.0,3.0,5.416666666666667,172.72,71.66759446,175.26,11.0,27.0,34.0,10.43262451,28.12272694,75.0,85.0,19.685908858,17.871539378,98.42954429000001,124.0,24.0,0.1534863850654211,1.3924050632911393,1.1455696202531644,30-39
153,16.0,1.0,9.0,11.0,4.0,2.0,2.0,1.6666666666666667,172.72,65.77089365,175.26,16.0,21.0,49.0,43.09127515,38.55535145,136.0,67.2,23.496084766000003,22.679618500000004,106.86636237200003,114.4,22.0,0.24326870310055454,1.5862068965517242,1.6551724137931034,Under 20
154,34.0,1.0,0.0,9.0,7.0,2.0,4.0,3.3333333333333335,177.8,71.66759446,180.34,16.0,25.0,44.0,30.390688790000002,33.56583538,106.0,107.6,20.86524902,20.86524902,135.89627405200002,172.6,22.7,0.22325292373152159,1.4683544303797469,1.4240506329113924,30-39
155,36.0,2.0,0.0,7.0,7.0,1.0,4.0,3.3333333333333335,177.8,60.32778521,175.26,9.8,5.0,13.0,4.535923700000001,14.787111262000002,106.0,113.88600000000001,15.875732950000002,15.875732950000002,73.93555631000001,179.876,19.1,0.15117600113287483,1.2288243900698073,1.075187969924812,30-39
156,41.0,1.0,4.0,9.0,6.0,4.0,2.0,5.833333333333333,182.88,77.1107029,185.42000000000002,7.0,25.0,18.0,19.05087954,25.85476509,70.0,94.8,20.41165665,18.143694800000002,45.359237,154.6,23.1,0.09077857854671428,1.3352941176470587,1.2470588235294118,40-49
157,30.0,1.0,0.0,15.0,6.0,2.0,1.0,3.3333333333333335,182.88,68.0388555,187.96,12.0,22.0,57.0,41.73049804,29.937096420000003,150.0,68.8,22.044589182000003,21.590996812,111.76515996799999,146.2,20.3,0.17636980974790206,1.4400000000000002,1.6133333333333333,30-39
158,28.0,1.0,5.0,11.0,5.0,3.0,4.0,6.25,187.96,86.63614267,193.04,16.0,15.0,30.0,21.772433760000002,45.359237,90.2,78.4,23.677521714,23.223929344000002,151.95344395,108.8,24.5,0.18468042905539483,1.5235602094240839,1.2513089005235603,20-29
159,34.0,2.0,0.0,3.0,3.0,2.0,4.0,8.333333333333334,162.56,61.23496995,163.83,9.0,26.0,23.0,7.25747792,15.875732950000002,25.0,97.0,16.964354638,17.200222670400002,96.796611758,176.2,23.2,0.14697484145658504,1.2592592592592593,1.1185185185185187,30-39
160,52.0,1.0,3.0,7.0,3.0,2.0,4.0,3.25,168.91,58.9670081,180.34,17.0,30.0,20.0,12.24699399,28.12272694,74.0,89.2,19.50447191,19.50447191,102.96546799000001,117.8,20.7,0.2882968043956091,1.4769230769230768,1.2076923076923078,50-59
161,22.0,2.0,4.0,9.0,4.0,3.0,4.0,2.0833333333333335,162.56,56.69904625,162.56,14.0,25.0,45.0,24.947580350000003,18.143694800000002,114.0,67.0,15.240703632,14.787111262000002,80.28584949,94.6,21.5,0.24691773364706288,1.32,1.44,20-29
162,38.0,3.0,5.0,13.0,6.4,3.8,2.8,5.533333333333333,175.26,79.37866475,180.594,17.2,40.6,37.8,24.947580350000003,28.12272694,189.0,99.2,25.40117272,24.720784165000005,91.17206637000001,273.4,23.759999999999998,0.23466211713278423,1.354285714285714,1.3142857142857143,30-39
163,22.0,1.0,0.0,11.0,5.6,3.0,3.0,5.0,172.72,71.21400209000001,172.72,18.0,32.8,62.0,48.08079122,56.69904625,250.0,111.2,29.029911680000005,29.029911680000005,177.08246124800002,153.8,23.9,0.25275928148584687,1.7961783439490446,1.6751592356687899,20-29
164,19.0,2.0,3.0,7.0,3.0,1.0,1.0,2.5,165.1,56.69904625,168.148,6.0,8.0,42.0,18.143694800000002,15.875732950000002,73.0,79.8,13.154178730000002,13.154178730000002,87.99691978000001,128.6,20.8,0.10582188584874123,1.28,1.32,Under 20
165,27.0,1.0,4.0,7.0,5.0,3.0,4.0,4.333333333333333,177.8,74.84274105,177.8,22.0,51.0,42.0,29.48350405,38.55535145,75.0,56.6,20.774530546,20.774530546,127.82232986600002,65.6,23.7,0.2939496829131701,1.5151515151515151,1.3939393939393938,20-29
166,26.0,2.0,4.0,9.0,5.0,4.0,4.0,4.333333333333333,167.64000000000001,61.23496995,170.18,12.0,20.0,45.0,27.2155422,24.947580350000003,75.0,75.4,15.87573295,15.87573295,100.24391377000002,93.8,21.8,0.19596645527544673,1.4074074074074074,1.4444444444444446,20-29
167,25.0,1.0,5.0,5.0,3.0,3.0,2.0,1.6666666666666667,173.99,68.94604024,172.72,18.0,30.0,35.0,31.751465900000003,40.36972093,203.0,108.2,20.048782754,19.50447191,97.06876718000001,164.2,22.8,0.26107373153472346,1.5855263157894737,1.4605263157894737,20-29
168,24.0,1.0,3.0,7.0,3.0,1.0,2.0,2.5,179.07,79.83225712000001,184.912,10.0,30.0,20.0,7.484274105000001,28.757756258,54.0,54.8,18.597287170000005,18.597287170000005,107.95498406000002,76.2,24.9,0.12526264896868042,1.3602272727272726,1.09375,20-29
169,35.0,1.0,4.0,9.0,4.0,3.0,3.0,8.916666666666666,173.355,64.86370891,176.53,24.0,37.0,42.0,36.287389600000004,45.359237,103.0,127.8,15.785014476,15.785014476,111.31156759800001,216.0,21.6,0.37000659387671764,1.6993006993006992,1.5594405594405594,30-39
170,28.0,1.0,6.0,11.0,3.0,1.0,3.0,2.9166666666666665,182.88,74.38914868,190.5,17.0,38.0,53.0,38.55535145,43.99845989,165.0,92.2,26.489794408,24.856861876,145.60315077,163.0,22.2,0.2285279547038365,1.5914634146341462,1.5182926829268293,20-29
