strength_to_weight_pullup,strength_to_weight_maxhang,strength_to_weight_weightpull,exp,continuous,repeaters1,max_boulder_numeric
0.0292002996271361,1.2450331125827816,1.0662251655629138,7.0,16.0,31.0,1.0
0.2645547146218531,1.0799999999999998,1.16,5.0,28.0,120.0,5.0
0.2560206915695352,1.2258064516129032,1.5483870967741935,7.0,54.0,117.0,8.0
0.2004202383498887,1.303030303030303,1.4242424242424243,7.0,47.0,132.8,7.0
0.0776275571073512,1.2464788732394363,1.176056338028169,5.0,34.8,85.0,7.0
0.0953350322961632,1.162162162162162,1.2972972972972971,7.0,17.0,83.0,1.0
0.1233355312922392,1.1748251748251748,1.1748251748251748,6.0,32.8,80.0,6.0
0.1889676533013236,1.4888920644782715,1.4757412448945295,6.0,53.0,116.0,7.0
0.2405042860198664,1.5454545454545454,1.6363636363636362,6.0,65.0,195.0,11.0
0.2492182094263833,1.2,1.4,7.0,31.0,62.0,7.0
0.2307692307692307,1.036764705882353,1.0,6.0,27.0,32.0,3.0
0.205764778039219,1.8266666666666669,1.6733333333333331,4.0,56.0,165.0,7.0
0.2411305992647098,1.265625,1.546875,7.0,27.0,92.0,7.0
0.2087216683407125,1.4319526627218937,1.5502958579881656,5.0,60.0,205.0,4.0
0.1626360950544179,1.4098360655737705,1.2868852459016396,5.0,53.0,260.0,7.8
0.1543235835294143,1.1,1.15,6.0,37.0,97.0,3.2
0.2651128469311818,1.5063291139240509,1.5063291139240509,4.0,49.0,200.0,5.0
0.1936492843515816,1.4054054054054057,1.4256756756756757,7.0,50.0,120.0,9.0
0.1736975399032368,1.2727272727272727,1.4242424242424243,5.0,30.0,87.0,6.0
0.1978507481146337,1.301282051282051,1.4615384615384617,7.0,45.0,160.0,7.0
0.1102311310924387,1.3333333333333333,1.35,5.0,36.0,120.0,5.0
0.2431569068215561,1.4044117647058822,1.588235294117647,4.0,41.0,95.0,7.0
0.0516708426995806,1.341143115942029,1.274921014492754,2.0,50.0,114.4,3.0
0.1533650519546974,1.391304347826087,1.391304347826087,5.0,62.0,190.0,6.8
0.0678345422107315,1.2569895169895169,1.358974358974359,6.0,35.2,94.4,7.0
0.1603361906799109,1.2424242424242424,1.3333333333333337,4.0,41.0,60.0,4.0
0.2275739480618091,1.6451612903225803,1.8064516129032255,7.0,67.0,120.0,14.0
0.2204622621848775,1.4166666666666667,1.375,7.0,40.0,90.0,9.0
