,age,sex,max_boulder_numeric,max_sport_numeric,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,ohpr,ohll,dl,shortcamp,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang
437,32.0,2.0,9.0,0.0,7.0,7.0,2.0,2.5,154.94,48.98797596,157.48,14.0,30.0,62.0,43.09127515,31.751465900000003,54.0,57.0,19.05087954,18.1436948,92.98643585,80.0,20.4,0.28578441394335985,1.6481481481481481,1.8796296296296298
438,31.0,1.0,7.0,15.0,4.0,3.0,2.0,3.3333333333333335,180.34,77.1107029,182.88,16.0,22.0,61.0,22.6796185,36.287389600000004,130.0,80.0,21.772433760000002,20.86524902,134.26334152,190.0,23.7,0.20749389382106123,1.4705882352941178,1.2941176470588236
439,31.0,1.0,7.0,15.0,4.0,3.0,2.0,3.3333333333333335,180.34,77.1107029,182.88,16.0,22.0,61.0,22.6796185,36.287389600000004,130.0,80.0,21.772433760000002,20.86524902,134.26334152,190.0,23.7,0.20749389382106123,1.4705882352941178,1.2941176470588236
440,52.0,1.0,3.0,11.0,7.0,3.0,4.0,6.25,168.91,68.0388555,172.72,18.0,35.0,42.0,19.50447191,31.751465900000003,104.0,137.0,18.143694800000002,18.143694800000002,145.14955840000002,179.0,23.8,0.2645547146218531,1.4666666666666668,1.2866666666666666
441,19.0,1.0,7.0,9.0,2.0,2.0,2.0,0.6666666666666666,180.34,68.0388555,182.88,18.0,20.0,27.4,20.41165665,43.09127515,51.0,54.4,23.133210870000003,22.6796185,122.01634753,79.4,20.9,0.2645547146218531,1.6333333333333333,1.3
442,29.0,1.0,9.0,11.0,6.0,3.0,2.0,2.5,167.64000000000001,69.39963261,172.72,23.0,31.0,86.0,42.18409041,59.874192840000006,220.0,135.0,24.947580350000003,24.947580350000003,120.20197805000001,162.0,24.7,0.3314138581864173,1.8627450980392157,1.607843137254902
443,17.0,1.0,4.0,4.0,2.0,1.0,1.0,0.8333333333333334,175.26,58.9670081,180.34,13.0,22.0,30.0,18.143694800000002,29.937096420000003,103.0,97.886,18.59728717,18.415850222,106.14061458,166.076,19.2,0.22046226218487758,1.5076923076923077,1.3076923076923077
444,21.0,1.0,1.0,0.0,1.0,1.0,1.0,1.5833333333333335,175.26,69.85322498000001,170.18,17.0,53.0,38.0,19.277675725,42.63768278,101.0,64.4,24.766143402000004,24.766143402000004,123.286406166,87.2,22.7,0.2433674322820077,1.6103896103896103,1.275974025974026
445,30.0,1.0,3.0,0.0,1.0,1.0,2.0,0.16666666666666666,180.34,80.73944186,180.34,11.0,35.0,27.4,17.372587771,29.9733838096,60.0,51.4,24.312551032,23.677521714,137.43848811000004,72.4,24.8,0.13624072382211536,1.3699938939557212,1.2152710373971325
446,33.0,1.0,4.0,11.0,5.0,2.0,2.2,2.9833333333333334,175.768,69.85322498000001,177.292,11.0,32.0,60.0,49.895160700000005,19.958064280000002,130.0,113.6,21.318841390000003,20.411656650000005,119.29479331,187.2,22.34,0.1574730444177697,1.2857142857142858,1.7142857142857142
447,30.0,1.0,3.0,4.0,1.0,1.0,3.0,3.3333333333333335,168.91,65.77089365,170.434,23.0,40.0,16.29,2.7215542200000002,34.926612490000004,35.0,75.0,19.685908858,19.685908858,129.364543924,77.0,23.1,0.3496987607070472,1.5310344827586206,1.0413793103448277
