,age,sex,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,shortcamp,ohpr,ohll,dl,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,max_sport_numeric,max_boulder_numeric
20,45.0,1.0,7.0,3.0,3.0,5.0,179.07,70.76040972,179.07,14.0,36.0,45.0,21.31884139,32.658650640000005,160.0,137.8,191.0,25.582609668,24.856861876,118.84120094,22.1,0.19785074811463374,1.4615384615384617,1.3012820512820513,9.0,7.0
21,30.0,1.0,5.0,3.0,2.0,9.0,182.88,81.6466266,185.42000000000002,9.0,19.0,36.0,27.2155422,28.576319310000002,120.0,87.0,125.0,27.2155422,27.2155422,120.746288894,24.4,0.11023113109243879,1.35,1.3333333333333333,11.0,5.0
22,29.0,1.0,4.0,2.0,3.0,3.0,167.64000000000001,61.68856232,170.18,15.0,19.0,41.0,24.947580350000003,36.287389600000004,95.0,69.0,169.0,20.955967494,20.955967494,111.765159968,21.9,0.24315690682155613,1.588235294117647,1.4044117647058822,15.0,7.0
23,39.0,2.0,2.0,2.0,1.6,4.633333333333334,160.02,58.05982336,165.1,3.0,10.0,50.0,19.867345806000003,16.057169898,114.4,126.6,207.0,15.42214058,13.698489574000002,88.90410452,22.7,0.05167084269958068,1.2749210144927539,1.341143115942029,7.4,3.0
24,27.0,2.0,5.0,2.0,3.0,9.0,162.56,52.163122550000004,162.56,8.0,21.0,62.0,20.41165665,20.41165665,190.0,73.0,345.0,19.958064280000002,20.139501228,105.505585262,19.7,0.15336505195469743,1.391304347826087,1.391304347826087,17.0,6.8
25,30.0,1.0,6.0,1.0,4.0,9.0,180.34,88.45051215000001,190.5,6.0,21.0,35.2,21.681715286000003,31.751465900000003,94.4,72.6,192.8,24.947580350000003,24.947580350000003,123.37712464,27.2,0.06783454221073155,1.358974358974359,1.2569895169895169,9.0,7.0
26,44.0,1.0,4.0,2.0,2.0,5.0,177.8,74.84274105,165.1,12.0,21.0,41.0,18.143694800000002,24.947580350000003,60.0,99.8,161.0,23.768240188000004,22.861055448000002,98.42954429,23.7,0.16033619067991098,1.3333333333333335,1.2424242424242424,11.0,4.0
27,32.0,1.0,7.0,7.0,3.0,4.0,177.8,70.30681735,185.42000000000002,16.0,35.0,67.0,45.359237,56.69904625,120.0,90.0,53.0,24.221832558,23.768240188000004,148.05254956800002,22.2,0.2275739480618091,1.8064516129032258,1.6451612903225805,17.0,14.0
28,38.0,2.0,7.0,3.0,2.0,7.0,157.48,54.4310844,157.48,12.0,22.0,40.0,22.6796185,20.41165665,90.0,120.4,219.2,11.33980925,11.33980925,108.8621688,21.9,0.22046226218487758,1.375,1.4166666666666667,8.4,9.0
29,39.0,2.0,5.0,3.0,2.0,5.0,160.02,56.69904625,157.48,8.0,15.0,40.0,13.6077711,15.875732950000002,113.0,105.0,116.0,15.875732950000002,15.875732950000002,88.45051215000001,22.1,0.14109584779832166,1.28,1.24,4.0,1.0
30,27.0,1.0,6.0,4.0,2.0,5.0,170.18,61.23496995,177.8,15.0,20.0,45.0,34.01942775,31.751465900000003,180.0,162.0,187.0,15.875732950000002,18.143694800000002,113.3980925,21.1,0.24495806909430842,1.5185185185185186,1.5555555555555556,13.0,9.0
31,40.0,1.0,7.0,4.0,2.0,3.0,156.21,70.30681735,192.024,12.0,25.0,56.0,24.49398798,24.49398798,98.0,110.0,167.0,22.135307656000002,21.228122916000004,123.739998536,28.8,0.17068046104635684,1.3483870967741935,1.3483870967741935,13.0,6.0
32,31.0,2.0,5.0,3.0,2.0,4.0,157.48,49.895160700000005,154.94,14.0,26.0,65.0,29.48350405,31.751465900000003,152.6,77.2,142.0,13.879926522,12.70058636,77.1107029,20.1,0.28058833368984415,1.6363636363636362,1.590909090909091,13.0,9.0
33,38.0,1.0,7.0,7.0,3.0,5.0,175.26,72.57477920000001,182.88,11.0,33.0,21.0,18.143694800000002,15.875732950000002,62.0,91.6,155.8,23.496084766000003,23.042492396,101.15109851,23.6,0.1515678052521033,1.21875,1.25,6.8,6.0
34,32.0,1.0,4.0,3.0,4.0,3.0,172.72,69.39963261,170.18,16.0,30.0,64.0,47.62719885,36.287389600000004,120.0,93.0,163.0,23.223929344000002,22.770336974,149.6854821,23.3,0.23054877091229029,1.5228758169934642,1.6862745098039216,6.2,8.0
35,54.0,1.0,7.0,7.0,3.0,6.0,187.96,83.91458845000001,15.748000000000001,30.0,75.0,35.0,15.875732950000002,56.69904625,237.0,116.0,325.0,24.947580350000003,29.48350405,0.0,23.8,0.35750637111061223,1.6756756756756754,1.1891891891891893,13.0,7.0
36,47.0,1.0,7.0,1.0,3.0,75.0,167.64000000000001,63.502931800000006,171.196,12.2,23.8,50.8,27.034105252,31.751465900000007,119.2,118.4,164.2,21.228122916000004,19.958064280000002,131.99537967,22.6,0.19241118317035313,1.4923129251700682,1.3905194805194805,13.0,4.0
37,59.0,2.0,6.0,7.0,1.0,6.666666666666667,167.64000000000001,57.60623099,162.56,4.0,10.0,10.0,0.0,0.0,60.0,45.0,50.0,11.33980925,11.33980925,0.0,20.5,0.06943693297161499,1.0,1.0,5.0,0.0
38,31.0,2.0,5.0,1.0,3.0,6.666666666666667,165.1,59.420600470000004,157.48,9.0,18.0,18.0,11.33980925,15.875732950000002,50.0,62.8,128.2,14.96854821,15.2044162424,93.34930974599999,21.8,0.15146262287510673,1.267175572519084,1.1908396946564885,5.0,7.0
39,23.0,1.0,4.0,1.0,2.0,2.3333333333333335,187.96,70.30681735,190.5,11.0,12.0,30.0,18.143694800000002,24.947580350000003,62.0,65.2,83.4,19.050879540000004,17.236510060000004,93.89362059000001,19.9,0.15645708929249377,1.3548387096774193,1.2580645161290323,0.0,5.0
40,38.0,1.0,7.0,2.0,4.0,2.0833333333333335,180.34,76.20351816,180.34,22.0,37.0,72.0,38.55535145,45.359237,204.0,149.4,277.2,27.669134570000004,25.582609668000003,157.39655239000004,23.4,0.28870058143257776,1.5952380952380951,1.505952380952381,9.0,5.0
41,35.0,1.0,7.0,2.0,4.0,3.0,187.96,82.10021897,194.31,15.0,21.0,48.0,29.48350405,24.947580350000003,110.0,112.0,116.0,20.411656650000005,20.411656650000005,99.33672903,23.2,0.18270353219741237,1.3038674033149171,1.3591160220994476,9.0,8.0
42,34.0,1.0,4.0,2.0,1.0,3.3333333333333335,177.8,74.84274105,185.42000000000002,14.0,30.0,58.0,42.18409041,31.751465900000003,102.0,100.0,116.0,23.768240188,23.314647818000005,113.3980925,23.7,0.1870588891265628,1.4242424242424243,1.5636363636363637,0.0,8.0
43,45.0,1.0,6.0,4.0,2.0,2.9166666666666665,175.26,69.85322498000001,175.26,15.0,31.0,55.0,24.947580350000003,43.09127515,110.0,110.0,130.0,26.30835746,24.49398798,138.34567285,22.7,0.21473596966059502,1.6168831168831168,1.357142857142857,9.0,0.0
44,28.0,1.0,7.0,6.0,1.0,2.5,170.18,65.77089365,177.8,15.0,24.0,57.0,31.751465900000003,31.751465900000003,183.0,57.0,75.0,22.6796185,22.6796185,99.79032140000001,22.7,0.2280644091567699,1.482758620689655,1.482758620689655,15.0,8.0
45,31.0,1.0,6.0,2.0,4.0,10.0,182.88,76.20351816,187.96,19.0,33.0,82.0,48.98797596,49.895160700000005,204.0,104.0,348.0,28.12272694,28.12272694,145.14955840000002,22.8,0.24933232032813535,1.6547619047619049,1.6428571428571428,17.0,11.0
46,31.0,2.0,5.0,3.0,4.0,4.166666666666667,157.48,54.4310844,157.48,10.0,30.0,20.0,15.875732950000002,19.958064280000002,79.8,63.2,106.4,14.96854821,14.1157945544,75.74992578999999,21.9,0.1837185518207313,1.3666666666666667,1.2916666666666667,4.0,4.0
47,31.0,2.0,7.0,2.0,4.0,10.0,165.1,54.4310844,162.56,12.0,18.0,38.0,11.33980925,22.6796185,84.0,104.0,320.0,19.323034962,18.143694800000002,79.83225712000001,20.0,0.22046226218487758,1.4166666666666667,1.2083333333333333,15.0,7.0
48,29.0,2.0,6.0,1.0,3.0,2.0833333333333335,187.96,72.57477920000001,190.5,2.0,9.0,19.5,6.80388555,6.80388555,56.0,48.0,91.0,18.506568696000002,17.599383956000004,83.46099608000002,20.5,0.027557782773109694,1.09375,1.09375,9.0,0.0
49,40.0,3.0,7.0,3.0,3.0,8.333333333333334,167.64000000000001,63.95652417,175.26,12.0,20.0,46.0,25.85476509,29.302067102000002,126.0,130.8,206.4,21.046685968000002,21.046685968000002,109.22504269599999,22.8,0.1876274571786192,1.4533319940146905,1.4044931809637693,13.0,8.0
50,28.0,1.0,4.0,3.0,4.0,3.3333333333333335,162.56,58.9670081,162.56,10.0,22.0,43.0,31.751465900000003,31.751465900000003,161.0,77.0,102.0,18.778724118000003,19.232316488000002,102.69331256800001,22.3,0.1695863555268289,1.5384615384615385,1.5384615384615385,9.0,8.0
51,30.0,1.0,5.0,3.0,2.0,2.5,182.88,83.91458845000001,185.42000000000002,10.0,19.0,39.0,23.586803240000002,24.947580350000003,132.0,62.0,298.0,23.586803240000002,23.586803240000002,99.33672902999999,25.1,0.11916879037020409,1.2972972972972971,1.281081081081081,11.0,0.0
52,29.0,1.0,6.0,4.0,2.0,6.666666666666667,182.88,72.57477920000001,182.88,15.0,26.0,30.0,22.6796185,45.359237,156.0,80.0,105.0,20.41165665,20.41165665,126.189397334,21.7,0.20668337079832272,1.6249999999999998,1.3125,13.0,9.0
53,27.0,1.0,3.0,2.0,3.0,2.9166666666666665,170.18,68.0388555,177.292,14.0,27.0,41.0,32.658650640000005,34.926612490000004,100.0,70.0,130.0,23.042492396,23.042492396,115.84749129800002,23.5,0.20576477803921908,1.5133333333333334,1.48,11.0,4.0
54,22.0,1.0,5.0,3.0,2.0,4.166666666666667,170.18,50.80234544,177.8,20.0,20.0,49.0,24.947580350000003,36.287389600000004,143.0,55.0,103.8,15.875732950000002,15.875732950000002,83.91458845000001,17.5,0.3936826110444242,1.7142857142857144,1.4910714285714286,0.0,11.0
55,26.0,2.0,3.0,2.0,2.0,2.5,160.02,48.98797596,160.02,4.0,4.0,15.0,2.2679618500000003,6.80388555,37.0,25.0,25.0,5.8967008100000005,5.8967008100000005,68.0388555,19.1,0.08165268969810281,1.138888888888889,1.0462962962962963,9.0,4.0
56,38.0,1.0,4.0,3.0,4.0,3.75,172.72,72.57477920000001,175.26,9.0,22.0,14.0,2.2679618500000003,24.49398798,76.0,60.0,106.0,20.411656650000005,19.05087954,94.80080533000002,24.3,0.12401002247899362,1.3375,1.03125,9.0,3.0
57,32.0,1.0,7.0,1.0,4.0,2.9166666666666665,165.1,61.23496995,170.18,14.0,22.0,11.0,32.114339796,34.01942775,40.0,35.0,64.0,22.044589182000003,20.86524902,109.860072014,22.5,0.22862753115468787,1.5555555555555556,1.542618484641432,9.0,9.0
58,32.0,1.0,3.0,2.0,2.0,2.0833333333333335,172.72,71.66759446,182.88,13.0,22.0,36.0,34.926612490000004,47.173606480000004,87.0,42.0,75.0,21.228122916,21.228122916,139.70644996000001,24.0,0.1813930005318613,1.6582278481012658,1.4873417721518987,0.0,4.0
59,23.0,2.0,1.0,1.0,3.0,14.166666666666666,157.48,53.97749203,160.02,16.0,39.0,18.0,4.535923700000001,31.751465900000003,120.0,45.0,123.0,13.6077711,15.875732950000002,74.84274105,21.8,0.29641984831580176,1.5882352941176472,1.084033613445378,5.0,4.0
60,35.0,1.0,7.0,7.0,1.0,2.0833333333333335,180.34,68.94604024,193.04,21.0,36.0,78.0,61.23496995,40.8233133,170.0,73.0,383.0,22.6796185,22.6796185,139.61573148600002,21.2,0.304586020123844,1.5921052631578947,1.888157894736842,15.0,11.0
61,28.0,1.0,4.0,3.0,3.0,10.0,177.8,74.84274105,182.88,14.0,34.0,32.0,22.6796185,36.287389600000004,45.0,77.6,95.2,15.875732950000002,15.875732950000002,127.45945597,23.7,0.1870588891265628,1.484848484848485,1.303030303030303,0.0,7.0
62,31.0,1.0,7.0,5.0,1.0,1.1666666666666667,175.26,67.58526313,177.8,22.0,30.0,65.0,56.69904625,61.23496995,153.0,108.4,182.6,25.401172719999998,24.947580350000003,139.162139116,22.0,0.3255147495347186,1.906040268456376,1.8389261744966443,0.0,11.0
63,40.0,1.0,6.0,4.0,2.0,1.6666666666666667,179.07,83.00740371,186.69,27.0,50.0,43.0,34.01942775,52.163122550000004,99.0,121.0,155.0,36.287389600000004,36.287389600000004,188.24083355000002,25.9,0.32527219010883573,1.6284153005464481,1.4098360655737705,13.0,0.0
64,34.0,1.0,3.0,2.0,3.0,1.6666666666666667,177.8,74.38914868,182.88,20.0,45.0,60.0,40.8233133,56.69904625,116.0,124.0,170.6,18.143694800000002,18.143694800000002,136.077711,23.5,0.2688564172986312,1.7621951219512195,1.5487804878048779,9.0,4.0
65,37.0,1.0,4.0,3.0,2.0,1.6666666666666667,175.26,70.76040972,180.34,14.0,29.0,47.2,26.30835746,29.48350405,120.0,109.4,182.4,18.506568696,16.964354638,115.93820977200001,23.0,0.19785074811463374,1.4166666666666667,1.3717948717948718,0.0,5.0
66,35.0,1.0,7.0,5.0,2.0,3.75,172.72,73.93555631000001,182.88,15.0,30.0,50.0,29.48350405,36.287389600000004,125.0,95.0,148.0,21.863152234000005,20.955967494,139.25285759000002,24.8,0.20287938237872166,1.49079754601227,1.3987730061349692,0.0,7.0
67,53.0,1.0,7.0,6.0,3.0,1.0,172.72,67.13167076,177.8,12.0,26.0,64.0,26.30835746,22.6796185,195.0,75.0,115.0,27.2155422,25.85476509,118.38760857000001,22.5,0.17875318555530614,1.337837837837838,1.3918918918918919,11.0,5.0
68,35.0,2.0,6.0,3.0,4.0,1.6666666666666667,167.64000000000001,54.4310844,171.704,12.0,35.0,57.0,27.2155422,18.143694800000002,397.0,157.0,730.0,22.861055448000002,23.314647818000005,115.66605435000001,19.4,0.22046226218487758,1.3333333333333335,1.5,11.0,0.0
69,39.0,1.0,7.0,1.0,2.0,2.5,172.72,62.142154690000005,172.72,16.0,28.0,45.0,19.595190384,38.55535145,70.0,114.6,174.4,21.500278338000005,21.500278338,123.83071701000001,20.8,0.25747417481445556,1.6204379562043794,1.2923307435287954,11.0,5.0
70,32.0,1.0,3.0,2.0,1.0,1.25,175.26,70.30681735,182.88,14.0,30.0,38.0,24.947580350000003,39.916128560000004,90.0,40.0,70.0,19.867345806,20.320938176000002,135.442681682,22.9,0.19912720455408298,1.567741935483871,1.3548387096774193,5.0,1.0
71,30.0,2.0,7.0,6.0,3.0,4.583333333333333,165.1,62.59574706,160.02,11.0,19.0,36.0,13.6077711,27.2155422,100.0,89.0,154.0,20.41165665,20.41165665,77.1107029,23.0,0.17573078869809083,1.434782608695652,1.2173913043478262,9.0,6.0
72,34.0,1.0,4.0,3.0,3.0,3.3333333333333335,185.42000000000002,70.76040972,186.69,22.0,28.0,64.0,29.48350405,38.55535145,170.0,87.0,156.0,24.403269506,23.677521714,143.516625868,20.6,0.310908318465853,1.544871794871795,1.4166666666666667,17.0,0.0
73,31.0,2.0,5.0,3.0,1.0,1.25,157.48,51.255937810000006,154.94,15.0,30.0,48.6,29.48350405,24.947580350000003,100.0,72.8,88.4,15.240703632000002,14.787111262000002,74.84274105,20.7,0.29264902059939496,1.4867256637168142,1.5752212389380529,13.0,8.0
74,26.0,1.0,4.0,1.0,1.0,1.25,177.8,57.60623099,180.34,16.4,25.0,40.0,52.163122550000004,34.01942775,124.4,62.6,121.2,17.690102430000003,17.055073112,87.271171988,18.2,0.2553092752742184,1.5905511811023623,1.905511811023622,0.0,8.0
