,age,sex,max_boulder_numeric,max_sport_numeric,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,ohpr,ohll,dl,shortcamp,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang
0,43.0,2.0,1.0,4.0,7.0,1.0,3.0,3.0,165.1,68.49244787,165.1,2.0,6.0,16.0,16.78291769,4.535923700000001,31.0,41.0,11.339809250000002,10.886216880000001,67.675981604,62.0,25.1,0.0292002996271361,1.0662251655629138,1.2450331125827816
1,16.0,2.0,5.0,11.0,5.0,5.0,2.0,4.0,162.56,56.69904625,162.56,15.0,30.0,28.0,4.535923700000001,9.071847400000001,120.0,79.886,6.80388555,6.80388555,49.895160700000005,95.276,21.5,0.2645547146218531,1.1600000000000001,1.0799999999999998
2,19.0,1.0,8.0,15.0,7.0,5.0,2.0,5.0,177.8,70.30681735,187.96,18.0,70.0,54.0,15.875732950000002,38.55535145,117.0,114.0,22.498181552,22.498181552,127.36873749600002,301.0,22.2,0.2560206915695352,1.5483870967741935,1.2258064516129032
3,34.0,1.0,7.0,9.0,7.0,4.0,2.0,6.0,172.72,74.84274105,182.88,15.0,35.0,47.0,22.6796185,31.751465900000003,132.8,85.2,21.863152234,21.863152234,111.40228607200001,117.2,25.1,0.2004202383498887,1.4242424242424243,1.303030303030303
4,30.0,2.0,7.0,9.0,5.0,3.0,2.0,4.0,172.72,64.41011654,177.8,5.0,7.0,34.8,15.875732950000002,11.33980925,85.0,95.0,11.33980925,11.33980925,65.77089365,210.0,21.6,0.07762755710735125,1.176056338028169,1.2464788732394365
5,38.0,1.0,1.0,13.0,7.0,4.0,4.0,8.0,177.8,83.91458845000001,188.46800000000002,8.0,12.0,17.0,13.6077711,24.947580350000003,83.0,48.0,22.316744604,21.772433760000002,107.95498405999999,54.0,26.5,0.09533503229616326,1.2972972972972971,1.162162162162162
6,31.0,2.0,6.0,11.0,6.0,3.0,3.0,9.0,186.69,64.86370891,193.04,8.0,7.0,32.8,11.33980925,11.33980925,80.0,112.0,18.597287169999998,17.23651006,83.00740371,235.0,18.6,0.1233355312922392,1.1748251748251748,1.1748251748251748
7,37.0,2.0,7.0,9.0,6.0,4.0,1.0,4.0,175.26,63.502931800000006,177.8,12.0,22.0,53.0,32.567932166000006,31.207155055999998,116.0,104.6,20.502375124000004,20.048782754,111.13013065000003,152.8,20.7,0.18896765330132362,1.4757412448945297,1.4888920644782715
8,31.0,1.0,11.0,17.0,6.0,2.0,2.0,8.0,181.61,74.84274105,189.23,18.0,22.0,65.0,40.8233133,47.62719885,195.0,65.0,23.586803240000002,22.6796185,145.14955840000002,462.0,22.7,0.24050428601986645,1.6363636363636362,1.5454545454545454
9,30.0,2.0,7.0,15.0,7.0,2.0,2.0,8.0,165.1,52.163122550000004,164.465,13.0,16.0,31.0,10.43262451,20.86524902,62.0,72.0,18.415850222,17.23651006,60.32778521,332.0,19.1,0.24921820942638334,1.4,1.2
10,36.0,2.0,3.0,5.0,6.0,2.0,3.0,5.0,170.18,61.68856232,162.56,0.0,0.0,27.0,2.2679618500000003,0.0,32.0,19.0,6.80388555,6.80388555,22.6796185,26.0,21.3,0.0,1.0,1.036764705882353
11,33.0,1.0,7.0,11.0,4.0,2.0,3.0,3.0,172.72,68.0388555,172.72,14.0,26.0,56.0,56.24545388,45.81282937,165.0,138.8,24.04039561,24.04039561,138.254954376,172.8,22.8,0.20576477803921908,1.6733333333333333,1.8266666666666667
12,36.0,2.0,7.0,15.0,7.0,3.0,2.0,8.0,165.1,58.05982336,172.72,14.0,35.0,27.0,15.42214058,31.751465900000003,92.0,139.4,20.139501228,19.958064280000002,103.328341886,207.6,21.3,0.24113059926470984,1.546875,1.265625
13,36.0,1.0,4.0,11.0,5.0,4.0,2.0,5.0,185.42000000000002,76.65711053,185.42000000000002,16.0,27.0,60.0,33.11224301,42.18409041,205.0,90.0,24.312551032000002,23.858958662,145.60315077,149.0,22.3,0.2087216683407125,1.5502958579881656,1.4319526627218935
14,35.0,2.0,7.8,9.0,5.0,3.0,3.0,3.0,165.1,55.33826914,171.45,9.0,34.0,53.0,22.6796185,15.875732950000002,260.0,93.0,21.590996812,22.498181552,118.84120094,163.0,20.3,0.1626360950544179,1.2868852459016396,1.4098360655737705
15,54.0,2.0,3.2,9.0,6.0,2.0,3.0,5.0,154.94,45.359237,154.94,7.0,12.0,37.0,4.535923700000001,6.80388555,97.0,92.0,12.70058636,12.700586359999999,73.93555631000001,156.0,18.9,0.1543235835294143,1.15,1.0999999999999999
16,34.0,1.0,5.0,15.0,4.0,2.0,3.0,4.0,185.42000000000002,71.66759446,185.42000000000002,19.0,29.0,49.0,36.287389600000004,36.287389600000004,200.0,84.0,20.320938176000002,19.867345806,147.14536482800003,185.0,20.8,0.26511284693118187,1.5063291139240507,1.5063291139240507
17,37.0,1.0,9.0,6.6,7.0,2.0,3.0,4.0,175.26,67.13167076,182.88,13.0,17.0,50.0,27.2155422,28.576319310000002,120.0,120.2,20.41165665,18.143694800000002,133.80974915000002,197.4,21.9,0.19364928435158163,1.4256756756756757,1.4054054054054055
18,29.0,1.0,6.0,9.0,5.0,2.0,3.0,9.0,177.8,74.84274105,185.42000000000002,13.0,30.0,30.0,20.41165665,31.751465900000003,87.0,77.0,21.046685968000002,20.139501228,132.90256441,115.0,23.7,0.17369753990323689,1.4242424242424243,1.2727272727272727
19,45.0,1.0,7.0,9.0,7.0,3.0,3.0,5.0,179.07,70.76040972,179.07,14.0,36.0,45.0,21.31884139,32.658650640000005,160.0,137.8,25.582609668,24.856861876,118.84120094,191.0,22.1,0.19785074811463374,1.4615384615384617,1.3012820512820513
20,30.0,1.0,5.0,11.0,5.0,3.0,2.0,9.0,182.88,81.6466266,185.42000000000002,9.0,19.0,36.0,27.2155422,28.576319310000002,120.0,87.0,27.2155422,27.2155422,120.746288894,125.0,24.4,0.11023113109243879,1.35,1.3333333333333333
21,29.0,1.0,7.0,15.0,4.0,2.0,3.0,3.0,167.64000000000001,61.68856232,170.18,15.0,19.0,41.0,24.947580350000003,36.287389600000004,95.0,69.0,20.955967494,20.955967494,111.765159968,169.0,21.9,0.24315690682155613,1.588235294117647,1.4044117647058822
22,39.0,2.0,3.0,7.4,2.0,2.0,1.6,4.633333333333334,160.02,58.05982336,165.1,3.0,10.0,50.0,19.867345806000003,16.057169898,114.4,126.6,15.42214058,13.698489574000002,88.90410452,207.0,22.7,0.05167084269958068,1.2749210144927539,1.341143115942029
23,27.0,2.0,6.8,17.0,5.0,2.0,3.0,9.0,162.56,52.163122550000004,162.56,8.0,21.0,62.0,20.41165665,20.41165665,190.0,73.0,19.958064280000002,20.139501228,105.505585262,345.0,19.7,0.15336505195469743,1.391304347826087,1.391304347826087
24,30.0,1.0,7.0,9.0,6.0,1.0,4.0,9.0,180.34,88.45051215000001,190.5,6.0,21.0,35.2,21.681715286000003,31.751465900000003,94.4,72.6,24.947580350000003,24.947580350000003,123.37712464,192.8,27.2,0.06783454221073155,1.358974358974359,1.2569895169895169
25,44.0,1.0,4.0,11.0,4.0,2.0,2.0,5.0,177.8,74.84274105,165.1,12.0,21.0,41.0,18.143694800000002,24.947580350000003,60.0,99.8,23.768240188000004,22.861055448000002,98.42954429,161.0,23.7,0.16033619067991098,1.3333333333333335,1.2424242424242424
26,32.0,1.0,14.0,17.0,7.0,7.0,3.0,4.0,177.8,70.30681735,185.42000000000002,16.0,35.0,67.0,45.359237,56.69904625,120.0,90.0,24.221832558,23.768240188000004,148.05254956800002,53.0,22.2,0.2275739480618091,1.8064516129032258,1.6451612903225805
