mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10843873023986816,0.02162972868757236,0.014238643646240234,0.0020159230636130625,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.5376669230769231,0.5667791231732775,0.6418098191214471,0.20437222768798335,0.2418625759416766,0.4384981338002616,0.17950297207373014,20
0.18703765869140626,0.019504878991318867,0.024948549270629884,0.0005822324711998232,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5557109615384617,0.5684101600556715,0.6525466408268735,0.22338546732255804,0.2449871304171729,0.44900807203214743,0.1786619257781467,5
0.2655791759490967,0.004231930078318411,0.036678409576416014,0.00022536141344023692,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.569551566951567,0.580179695352973,0.6405084122882573,0.22285450144452257,0.2542080419423066,0.45346044359592536,0.17742743891520246,2
0.43874297142028806,0.0029153155251168375,0.06080427169799805,0.0005401657462596541,,1,2,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.571641917948718,0.6017942713987473,0.6392661705426357,0.20284759522136342,0.25612979505872824,0.4543359500340386,0.18559951809309128,1
0.08707952499389648,0.001606244727233667,0.012943649291992187,0.0003962033204410263,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.5246047419015337,0.5716892972253557,0.6348182222447945,0.19415155920749605,0.2344425402998156,0.4319412721757991,0.18156254166668345,42
0.1724849224090576,0.0008482202398731885,0.025138282775878908,0.0007532684985262332,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.5437993054657824,0.5678170309733324,0.6415542606528802,0.2230614632742357,0.22740255116336683,0.44072692230591953,0.17888150888099766,15
0.2588968753814697,0.0015472935184194657,0.03673882484436035,0.0003590687462778201,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.5542579570058408,0.5807436698892354,0.6279351048782312,0.22566810131823045,0.2344102890291061,0.4446030244241288,0.17679514579253178,11
0.42980132102966306,0.0030308978971590904,0.0601600170135498,0.0004562307709293861,,1,5,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.5588427412208634,0.6022188498535538,0.6280325503094504,0.2052208332725618,0.24166890552479858,0.4471967760362456,0.18438671568361806,7
0.08384442329406738,0.00040101877432312954,0.012708568572998047,0.00013755728057093602,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.5287834002982519,0.5608263482572459,0.5946393572733166,0.20983320477565537,0.22873299277258075,0.42456306067541016,0.16900522826689465,69
0.1688096523284912,0.0023819914972178797,0.024698781967163085,7.776472885487958e-05,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.5371729921870358,0.555946972577757,0.6078227945726715,0.22536620730031032,0.2232250568958306,0.42990680470672105,0.16947003228242916,50
0.2617796421051025,0.01955149768152622,0.03726162910461426,0.0008264472598199836,,1,10,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.5379540719908298,0.5661620187634193,0.6062629369129493,0.2334266108604114,0.22482246627542746,0.43372562096060746,0.1684828278179833,32
0.4230199813842773,0.008506002113870946,0.06047954559326172,0.000334656758102991,,1,10,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.5425379157884078,0.585221762013199,0.6093032374083833,0.21610681291900913,0.22499802525589507,0.43563355067697884,0.17693255749019396,25
0.08563165664672852,0.000510221762042519,0.012663030624389648,5.343334303217091e-05,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.5247564659795305,0.5572015872897964,0.5955987920589338,0.1369993284634078,0.2336391143499944,0.40963905762833264,0.18703804032773033,90
0.17026443481445314,0.0021689361084018728,0.024411964416503906,0.0001784930465301814,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.5379190175699612,0.559654331160724,0.6134249016181594,0.19378434023974078,0.2452451511434789,0.43000554834641286,0.17437525421554603,48
0.25672221183776855,0.002451419765395984,0.0369450569152832,0.0009693797018135064,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.54809378026559,0.5786458056343038,0.60153917694325,0.1900190897359474,0.2445670663700127,0.4325729837898208,0.17743196703769556,38
0.4290456771850586,0.0021433756375211976,0.06087050437927246,0.0001905959100022659,,2,2,500,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.5568777203566004,0.6025134419530427,0.6044486541883531,0.1756934100108991,0.2526823889858755,0.43844312309895417,0.18549831361757538,22
0.08557276725769043,0.0005474537987318882,0.012679958343505859,0.00011551173230926878,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.5241753505809842,0.5592396641665677,0.5970014903768569,0.16790829789263584,0.22542358388937223,0.4147496773812834,0.18046722355118075,85
