mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1013528823852539,0.005030427491066519,0.014248371124267578,0.0006340727296873954,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.5376669230769231,0.5667791231732775,0.6418098191214471,0.20437222768798335,0.2418625759416766,0.4384981338002616,0.17950297207373014,20
0.20499081611633302,0.028092363599022414,0.026609420776367188,0.0008353747041648028,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5557109615384617,0.5684101600556715,0.6525466408268735,0.22338546732255804,0.2449871304171729,0.44900807203214743,0.1786619257781467,5
0.2851612091064453,0.013333167742588177,0.03882274627685547,0.00082667332401434,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.569551566951567,0.580179695352973,0.6405084122882573,0.22285450144452257,0.2542080419423066,0.45346044359592536,0.17742743891520246,2
0.4760500431060791,0.01753078768977485,0.06382689476013184,0.0013407721985140588,,1,2,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.571641917948718,0.6017942713987473,0.6392661705426357,0.20284759522136342,0.25612979505872824,0.4543359500340386,0.18559951809309128,1
0.0979649543762207,0.00694926903923098,0.013830137252807618,0.0003888071650143236,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.5246047419015337,0.5716892972253557,0.6348182222447945,0.19415155920749605,0.2344425402998156,0.4319412721757991,0.18156254166668345,42
0.18613438606262206,0.004794071827382934,0.02634286880493164,0.0004955316663551683,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.5437993054657824,0.5678170309733324,0.6415542606528802,0.2230614632742357,0.22740255116336683,0.44072692230591953,0.17888150888099766,15
0.28817071914672854,0.007698283193710176,0.03977117538452148,0.0011514363368687723,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.5542579570058408,0.5807436698892354,0.6279351048782312,0.22566810131823045,0.2344102890291061,0.4446030244241288,0.17679514579253178,11
0.4884783267974854,0.057602930412874655,0.11063094139099121,0.09111663901699492,,1,5,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.5588427412208634,0.6022188498535538,0.6280325503094504,0.2052208332725618,0.24166890552479858,0.4471967760362456,0.18438671568361806,7
0.090789794921875,0.0015591504413115225,0.013584232330322266,0.00022416041267986857,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.5287834002982519,0.5608263482572459,0.5946393572733166,0.20983320477565537,0.22873299277258075,0.42456306067541016,0.16900522826689465,69
0.19175868034362792,0.01554421180529844,0.031782674789428714,0.007250908046938158,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.5371729921870358,0.555946972577757,0.6078227945726715,0.22536620730031032,0.2232250568958306,0.42990680470672105,0.16947003228242916,50
0.27097277641296386,0.004951283821885785,0.038794422149658205,0.0010779288514366687,,1,10,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.5379540719908298,0.5661620187634193,0.6062629369129493,0.2334266108604114,0.22482246627542746,0.43372562096060746,0.1684828278179833,32
0.4407822132110596,0.02331722244651893,0.07072634696960449,0.014869266222035714,,1,10,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.5425379157884078,0.585221762013199,0.6093032374083833,0.21610681291900913,0.22499802525589507,0.43563355067697884,0.17693255749019396,25
0.08672776222229003,0.0007670192058729656,0.012855195999145507,6.889308541760661e-05,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.5247564659795305,0.5572015872897964,0.5955987920589338,0.1369993284634078,0.2336391143499944,0.40963905762833264,0.18703804032773033,90
0.17218356132507323,0.0022483485083043776,0.0248504638671875,0.00024023019117483724,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.5379190175699612,0.559654331160724,0.6134249016181594,0.19378434023974078,0.2452451511434789,0.43000554834641286,0.17437525421554603,48
0.25882821083068847,0.0017036208496841484,0.03703417778015137,0.00014770931319596644,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.54809378026559,0.5786458056343038,0.60153917694325,0.1900190897359474,0.2445670663700127,0.4325729837898208,0.17743196703769556,38
0.4311814785003662,0.0025964579267884094,0.06098947525024414,0.00014740829796801956,,2,2,500,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.5568777203566004,0.6025134419530427,0.6044486541883531,0.1756934100108991,0.2526823889858755,0.43844312309895417,0.18549831361757538,22
0.08597798347473144,0.0017430222242319079,0.012796449661254882,0.0002667396717083039,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.5241753505809842,0.5592396641665677,0.5970014903768569,0.16790829789263584,0.22542358388937223,0.4147496773812834,0.18046722355118075,85
