sex,height,weight,exp,max_boulder,max_sport,days,maxhang,pullup,weightedpull
Male,177.4,66,15,V10,8a+,16,16,20,35
Male,191,84,2,V3,6a,4,0,15,0
Female,172,67,8,V9,7c+,16,0,12,0
Male,180.5,65.8,2,V8,7b,12,0,15,0
Male,172,59,3,V7,0,16,0,15,40
Female,153,45.5,0,V3,5b,8,0,5,0
Male,163,62,4,V10,7b+,16,40,15,0
Male,171,64,1,V8,0,12,0,19,0
Male,178,65,3,V6,0,8,0,0,0
Male,190,78,2,V6,8a,12,0,6,0
Female,152,51,1,V5,6c,12,0,8,0
Female,168,44,2,V2,6b,4,0,2,0
Male,194,84,7,V8,8a,12,0,0,0
Female,163,57,1,V3,4b,8,0,2,0
Female,170,160,2,V5,0,16,0,0,0
Male,188,73,0,V6,0,16,6,15,20
Male,178,73,15,V9,7c+,8,30,20,30
Male,182,72,10,V11,8b,20,42,0,0
Male,165,54,6,V7,7b,12,30,0,20
Male,187,86,2,V5,0,12,0,0,0
Female,154,50,0,V1,0,8,0,0,0
Male,180,74,1,V9,7b,20,18.5,16,30
Male,182,68,3,V5,7b,8,0,14,11
Male,186,76,7,V8,7b,8,0,15,0
Female,163,48,1,V3,5c,4,0,0,0
Male,180,70,5,V9,0,8,0,14,0
Male,172,58,2,V12,0,20,10,25,0
Male,180.3,65.7,2,V5,0,16,5,0,32
Male,188,72.5,1,V8,7b+,12,0,0,27
Male,168,59,2,V5,0,12,0,15,0
Male,160,52,1,V5,0,8,20,17,20
Male,192,78,1,V4,6b,12,0,8,15
Male,172,95,0,V4,0,8,0,8,5
Male,190,93,4,V7,0,16,0,15,0
Male,175,77,2,V9,7c,12,0,20,0
Male,172,75,0,V4,5b,12,0,8,0
Male,182,77,2,V7,6b+,12,0,15,0
Male,190.5,86.18,1,V7,0,24,0,0,0
Male,177,79,1,V4,5c,16,0,25,0
Female,165,65,1,V2,6b+,4,0,2,0
Male,180,65,2,V7,7a+,12,0,5,0
Male,180,74,1,V6,7b,12,0,24,0
Male,173,75,1,V6,0,8,0,8,0
Male,175,62.6,8,V10,8a,16,38.5,25,32
Male,190,76,1,V5,7a,8,0,14,0
Male,170,68,1,V4,7a,16,0,0,0
Male,188,70,2,V8,0,12,0,0,0
Male,190,80,3,V7,0,12,0,0,0
Male,165,60.7,1,V7,0,16,0,21,20
Male,190,83,2,V4,7a,12,0,6,0
Male,192,78,1,V4,6a,0,0,0,0
Male,191,82,1,V6,7b,8,0,25,0
Male,198,85,1,V4,6c,8,0,0,0
Male,181,74,0,V5,6b,8,0,22,0
Female,168,55.5,0,V2,6c,16,0,3,0
Male,180,74.8,5,V8,4a,20,0,0,28
Female,180,76,15,V9,7c,16,18,13,16
Male,177,68,3,V6,7a+,12,0,25,35
Female,167,57,14,V9,7b+,16,18,12,25
Male,173,63,3,V7,0,12,0,25,0
Male,173,127,1,V7,7b+,12,0,15,0
Male,173,73.5,1,V4,0,12,0,8,0
Male,180,79,1,V6,7b,12,0,20,0
Male,171,59,3,V10,7c,20,0,15,24
Male,183,71,12,V13,8b,12,0,0,0
Male,175,68,1,V6,7a+,16,0,19,30
Male,175,72,7,V12,7c,12,40,0,35
Male,178,85,3,V0,6b+,8,0,15,20
Male,178,71,10,V8,5b,16,30,0,40
Male,170,66,0,V8,7b+,16,0,15,0
Male,182,73,1,V4,7b,12,0,0,0
Male,181,73,1,V6,0,16,0,0,0
Male,189,79,10,V0,8a,16,0,0,0
Male,186,72,15,V6,7b,4,0,14,0
Male,177,63,4,V10,8a,24,0,31,40
Male,175,65,9,V10,7b,20,0,15,0
Male,182.8,78.7,1,V4,0,12,0,20,0
Male,175,83,7,V6,0,16,16,0,60
Male,171,59,3,V6,0,8,5,20,10
Male,184,75,15,V0,7b+,12,15,12,0
Male,170,75,11,V9,7c+,16,0,25,15
Male,196,83,4,V7,6b+,8,0,15,0
