sex,height,weight,exp,max_boulder,max_sport,days,maxhang,pullup,weightedpull
Male,180,78,15,V10,4b,12,0,0,0
Male,180,63.5,1,V4,6c,4,36,20,30
Male,172,57,2,V6,7b+,8,0,15,0
Male,201.1,89,3,V9,7b,16,70,30,40
Male,186,67,14,V9,0,4,27,17,20
Male,187,63,6,V8,8a,12,23,21,25
Male,183,84,2,V9,7a,12,20,15,0
Male,173,68,8,V12,8a,16,60,25,10
Male,186,73,1,V5,0,12,25,0,0
Male,181,75,15,V9,8a,12,62,12,0
Male,173,70,0,V4,0,4,0,20,0
Male,178,67,1,V8,0,20,35,0,25
Female,168,62,12,V8,8a,12,0,0,20
Male,173,67,1,V5,7a+,12,0,8,0
Female,159,54,15,V9,0,12,17,8,0
Male,179,78,0,V3,6c,12,0,0,0
Female,150,49,1,V3,0,8,0,0,0
Male,175,65,7,V5,7a+,4,0,25,25
Male,172,72,1,V7,0,12,30,19,33
Male,183,75,2,V4,7a+,12,10,15,25
Male,183,77,1,V8,0,12,0,0,0
Male,174,64,12,V8,7b+,12,25,14,18
Female,168,62,0,V2,0,4,0,0,0
Male,180,60,0,V6,0,8,0,4,0
Male,169,58,1,V7,0,8,0,16,11
Male,168,62,2,V4,6b,8,0,6,0
Male,181,80,1,V6,0,8,0,18,35
Male,182,65,3,V12,0,16,60,25,45
Male,170,85,1,V5,0,24,10,12,20
Male,183,70,5,V7,7c,12,0,13,0
Male,171,65,2,V8,7b+,8,23,12,25
