mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06223907470703125,0.004461181790922612,0.00103607177734375,0.00021376687980847567,0.01,,1,2,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.3706470526439526,0.22789987667397826,0.36953777852703584,-0.09896980741862227,0.0819191286555736,0.1902068058163836,0.1797155434046651,417
0.10854854583740234,0.0023408881135530387,0.0010000705718994141,6.697985439834424e-05,0.01,,1,2,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.4306714293252071,0.20890360810558073,0.18018585416366484,-0.4536249727712889,-0.197678071531459,0.03369156945834095,0.3164686923474594,422
0.17182350158691406,0.012395609795592169,0.0010847091674804688,6.954872241525777e-05,0.01,,1,2,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.440308884683706,0.1892709869169653,0.058491797176737026,-0.6259045012279387,-0.3390297785215308,-0.055372522194412244,0.38065306121658743,423
0.26945924758911133,0.00562201841992564,0.0012826919555664062,4.109274069767928e-05,0.01,,1,2,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.44221519580867485,0.17625632521562096,-0.01178551772056724,-0.7208589380427506,-0.4160430084885631,-0.10604318864551703,0.4155148792012999,428
0.05480690002441406,0.0006926266852612123,0.0008302688598632813,4.348943103933271e-05,0.01,,1,4,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.4595980726790613,0.2593079284399218,0.4515749508170629,-0.0018452041013772291,0.2456602120237299,0.28285919197167975,0.16893588044160773,326
0.10996174812316895,0.0010845007104160285,0.0009630680084228516,4.191954622507263e-05,0.01,,1,4,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.537459581119029,0.3233442265259887,0.49425915368305207,-0.2632612581520015,0.2076238205334091,0.25988510474189547,0.28720000129768564,369
0.16111741065979004,0.00227607099703688,0.0009981632232666016,2.7129310578463366e-05,0.01,,1,4,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.5499544235289099,0.331944906970997,0.4865324624078793,-0.3642667846226417,0.16314292275087994,0.23346158620720486,0.32745548358540916,406
0.2781994342803955,0.010748133799820562,0.0015328884124755859,0.00030464291990299876,0.01,,1,4,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",0.5609136052206316,0.3282291500205132,0.4809868306529501,-0.42763341134865107,0.131547213141201,0.21480867753732896,0.3530348262612586,408
0.0525550365447998,0.0006441754884728038,0.0008104324340820312,1.2183539316485978e-05,0.01,,1,6,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",0.4432795481726822,0.2584206986613907,0.462255903385019,0.049188339214833565,0.15679338287567568,0.27398757446192024,0.1603846865319747,343
0.10661602020263672,0.002196671692062647,0.0010283470153808593,9.295076634385069e-05,0.01,,1,6,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",0.550456669878886,0.36403218805835347,0.5247020461757774,-0.1804051186701483,0.032025892136888,0.2581623355159513,0.28676363919857545,376
0.157730770111084,0.0030935405729152357,0.0010386466979980468,2.6078502749798227e-05,0.01,,1,6,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 300}",0.5972281454920674,0.35756802742980276,0.5332952245453577,-0.22326574485177253,-0.03891912214345927,0.2451813060943992,0.32240752941973133,401
0.27194366455078123,0.006422310923197632,0.0014307022094726563,0.00018253289046294126,0.01,,1,6,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",0.6082810392554681,0.36559954739975065,0.5215897912468154,-0.24453008956970534,-0.09776953668804489,0.23063415032885679,0.3403286801399805,407
0.053088808059692384,0.0035950327239298962,0.0008346080780029297,9.388324249570442e-05,0.01,,2,2,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.43843604029409655,0.2189277831596642,0.5705549972820886,0.040741175905889326,0.31100611960335056,0.31593322324901785,0.1816613237174579,225
0.10929036140441895,0.0033876541202821782,0.0009968280792236328,7.414518822532651e-05,0.01,,2,2,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.531965105720628,0.260936709199328,0.6098127106288187,-0.10344607855777621,0.3218484449965444,0.3242233783975086,0.2496517170679209,165
0.1516590118408203,0.004801893113745042,0.0009308815002441406,5.971261735388187e-05,0.01,,2,2,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.5584215703007447,0.2605990431434476,0.5644790865749406,-0.17878244175787472,0.31459047624194014,0.30386154690063966,0.27116573583094883,268
