mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05849885940551758,0.005472486990887238,0.0011147022247314452,0.0005830074938035118,0.01,,1,2,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.4348312814844234,0.41240866037235,0.3832851807266614,-0.1148979837419144,0.16188866293115045,0.2555031603545342,0.2093164290589683,412
0.12244915962219238,0.01682989325414456,0.0015926837921142578,0.0011210805590101771,0.01,,1,2,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.42233771498057504,0.4019123493727168,0.3433692095585509,-0.5668990551930229,0.08713230064510458,0.13757050387278488,0.372060063715945,422
0.18064346313476562,0.019607037490976916,0.001232004165649414,0.00016357562156598814,0.01,,1,2,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.38921186753937875,0.3768102736377601,0.301163122577048,-0.7863153432715206,0.041706949723547826,0.06451537404124279,0.4434842066711862,423
0.2707486152648926,0.004977452925691815,0.001246023178100586,0.00010712010647851224,0.01,,1,2,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.3683949307604816,0.35913625726871523,0.2753278448211055,-0.9070320170254738,0.01555915525042828,0.02227723421505139,0.4818644809132294,428
0.05477757453918457,0.0009328217189095986,0.0007904529571533203,1.9996255916732267e-05,0.01,,1,4,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.4372140318903154,0.4587348614039325,0.5121778508546908,-0.012098017529192484,0.1550216615509109,0.3102100776341314,0.20344362850896727,394
0.11198639869689941,0.004844043280597651,0.0009585857391357422,7.095003632952469e-05,0.01,,1,4,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.4783268045813873,0.47867185408449164,0.5303844143573295,-0.161975656893788,0.15232427007389848,0.2955463372406638,0.2653041696863252,400
0.16762118339538573,0.0032947147464375925,0.0010324478149414062,5.765365494910143e-05,0.01,,1,4,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.4701638483998055,0.49405208609415474,0.5116683298001821,-0.2610475068801128,0.124097077171612,0.26778676691712827,0.3006470058283724,402
0.2785358905792236,0.006589767033629577,0.0012734889984130859,6.156217021902219e-05,0.01,,1,4,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",0.4607844966744109,0.5028744241451586,0.5027216067774987,-0.30875332524681554,0.10670852238843886,0.2528671449477383,0.31778622134603396,421
0.052298784255981445,0.0012438726161854727,0.0007648944854736328,2.0172184426090938e-05,0.01,,1,6,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",0.428928367471189,0.462199800200652,0.5185126696466171,0.022375428758754645,0.16188193732621892,0.3187796406806863,0.1923890398090153,388
0.10481200218200684,0.001449860963771808,0.000861358642578125,1.7314770746935093e-05,0.01,,1,6,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",0.4743530466168674,0.5312608669823157,0.5386704970373755,-0.16936737713871897,0.1872305647418936,0.31242951964794663,0.2731645639811954,393
0.1601402759552002,0.003238341658167722,0.000994253158569336,2.2217950948147186e-05,0.01,,1,6,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 300}",0.47470736733690644,0.570603349817777,0.5371015651176181,-0.28265333662612546,0.20042058939992613,0.30003590700922045,0.31917611206544505,399
